epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3230.74,0.27698,0.37258,0.43141,0.90099,0.91537,0.89883,0.945,0.93174,0.91409,0.89759,0.94369,0.93246,0.19363,0.53071,0.35951,0.82789,0.000495062,0.000495062,0.000495062
30,3341.9,0.27013,0.35946,0.42069,0.90193,0.89965,0.91219,0.94927,0.93842,0.89845,0.91096,0.9497,0.93833,0.1884,0.4778,0.35142,0.82847,0.000473064,0.000473064,0.000473064
31,3452.53,0.26804,0.36295,0.4158,0.90115,0.90958,0.91422,0.95229,0.93975,0.90729,0.91184,0.95037,0.94155,0.18486,0.50605,0.34587,0.82538,0.000451066,0.000451066,0.000451066
32,3564.05,0.26475,0.35585,0.41085,0.8985,0.9115,0.90846,0.94797,0.93515,0.91036,0.90722,0.94653,0.93569,0.18849,0.58867,0.36579,0.82884,0.000429068,0.000429068,0.000429068
33,3675.22,0.25927,0.34514,0.40035,0.89563,0.91438,0.93815,0.9572,0.94865,0.91325,0.93691,0.95601,0.94653,0.17678,0.54297,0.3107,0.81768,0.00040707,0.00040707,0.00040707
34,3788.03,0.26514,0.35743,0.39322,0.89767,0.89781,0.93535,0.94863,0.93726,0.89664,0.93411,0.94773,0.93781,0.18851,0.46168,0.33458,0.8292,0.000385073,0.000385073,0.000385073
35,3901.4,0.25743,0.35471,0.3688,0.89568,0.91759,0.91758,0.95287,0.94272,0.91509,0.91511,0.95139,0.93928,0.17484,0.53025,0.3217,0.81921,0.000363075,0.000363075,0.000363075
36,4012.94,0.25657,0.34552,0.3732,0.89555,0.91033,0.92727,0.95478,0.94704,0.90907,0.92604,0.95391,0.94403,0.17284,0.58066,0.30907,0.81727,0.000341077,0.000341077,0.000341077
37,4124.52,0.25824,0.34919,0.36961,0.89855,0.91533,0.93207,0.95607,0.94726,0.9141,0.93083,0.95558,0.94612,0.17484,0.39486,0.31373,0.82149,0.000319079,0.000319079,0.000319079
38,4235.5,0.25296,0.34246,0.36202,0.89419,0.91757,0.906,0.95648,0.94766,0.91622,0.90486,0.95674,0.94739,0.16788,0.43646,0.32247,0.81524,0.000297081,0.000297081,0.000297081
